asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,lnpop2020,logpop2020
323,124380.375,11.73109969,5.094751862
324,27765.50781,10.2315498,4.443505621
325,8794.773438,9.081912896,3.944224656
326,5076.674805,8.53241176,3.705579345
327,37525.00781,10.53276286,4.574320791
328,7099.006348,8.867710102,3.851197565
329,10755.81738,9.283202039,4.03164342
330,11019.06934,9.307382627,4.042144916
331,13811.80957,9.533279271,4.140250582
332,30800.95313,10.33530091,4.488564156
333,18555.52734,9.828522994,4.268473301
334,84848.97656,11.34862821,4.928646608
335,37725.96484,10.53810386,4.576640356
336,12405.5498,9.425899216,4.093616017
337,15231.38867,9.631113622,4.182739501
338,9593.518555,9.168842999,3.98197792
339,10615.53809,9.270074064,4.025942013
340,3327.622559,8.110013382,3.52213406
341,8373.068359,9.032775686,3.922884637
342,10393.91992,9.248976291,4.016779367
343,26609.89063,10.18903825,4.425043089
344,28894.4043,10.27140323,4.460813745
