year,adm3,adm2,adm1,firms,sales,d-labour,d-wage,d-labourmonth,d-labourfem,d-wagefem,d-labourmonthfem,d-labourmale,d-wagemale,d-labourmonthmale,nd-labour,nd-wage,nd-labourmonth,nd-labourfem,nd-wagefem,nd-labourmonthfem,nd-labourmale,nd-wagemale,nd-labourmonthmale,asdf_id,totallabour,totalwage,totallabourfem,totalwagefem,totallabourmale,totalwagemale,lnsales,logsales,lntotalwage,lntotalwagefem,lngtotalwagemale,logtotalwage,logtotalwagefem,logtotalwagemale,rank,adm1_adm3
2021,San Pedro,Melipilla,Metropolitana,797,13213743.17,1940,1735198.641,1138.999,616,595786.0355,315.084,1301,1142387.388,823.917,421,322379.3675,206.666,242,135251.8516,121.249,179,187109.7429,85.417,325,2361,2057578.009,858,731037.8871,1480,1329497.131,16.396768,7.121025861,14.53704013,13.50222057,7.299797367,6.31335631,5.863939885,6.123687404,193,Metropolitana - San Pedro
2021,Traiguen,Malleco,La Araucania,1006,13210384.54,3771,2147960.922,2275.999,1549,834628.4425,1033.833,2220,1316270.064,1242,983,395718.7185,444.832,546,176174.2896,288.083,437,219526.6529,156.749,24,4754,2543679.641,2095,1010802.732,2657,1535796.717,16.39651379,7.12091546,14.74912227,13.82625536,7.884952946,6.405462414,6.004666407,6.186333735,194,La Araucania - Traiguen
2021,Villa Alegre,Linares,Maule,993,13206579.45,2268,1760218.759,989.582,595,598995.9655,230.583,1670,1164197.577,759,579,322847.3925,257.416,270,134499.1756,141.75,309,188330.4439,115.667,279,2847,2083066.152,865,733495.1411,1979,1352528.021,16.39622571,7.120790348,14.54935148,13.50557625,7.590346946,6.318703062,5.865397241,6.131146271,195,Maule - Villa Alegre
2021,Lolol,Colchagua,OHiggins,650,13205539.18,3856,1775300.556,1348.999,1349,617325.6525,432.583,2504,1160949.687,916.416,546,331843.0635,255.25,260,138613.2476,139.25,286,193212.0429,116,328,4402,2107143.62,1609,755938.9001,2790,1354161.73,16.39614693,7.120756138,14.56084385,13.53571583,7.933796875,6.323694138,5.878486694,6.131670536,196,Libertador Gral. Bernardo OÕHiggins - Lolol
2021,Coihaique,Coihaique,Aisen,5012,13183555.62,18646,3071440.786,11677.913,8619,1613110.122,5871.248,10042,1460763.656,5806.331,8620,798508.302,3179.83,3758,389796.485,1499.165,4862,408711.801,1680.665,149,27266,3869949.088,12377,2002906.607,14904,1869475.457,16.39448082,7.120032556,15.16875191,14.51010999,9.609384912,6.587705252,6.301660699,6.271719768,197, Aisen del Gral.Carlos Ibanez del Campo - Coihaique
2021,Coelemu,Itata,Nuble,954,13162116.18,2879,2106115.011,2064.999,1316,828927.2565,997.667,1557,1280162.536,1067.334,881,397900.5885,475.333,454,179319.6866,270.167,427,218563.1299,205.167,267,3760,2504015.6,1770,1008246.943,1984,1498725.666,16.39285327,7.11932572,14.73340624,13.82372368,7.592870288,6.39863703,6.003566914,6.175722145,198,Nuble - Coelemu
2021,Gorbea,Cautin,La Araucania,915,13128840.61,1873,1756042.872,864.166,773,611161.0855,305.083,1096,1147856.569,559.083,761,339103.3125,365.583,419,145476.7576,220.667,342,193608.7819,144.917,48,2634,2095146.185,1192,756637.8431,1438,1341465.351,16.39032194,7.118226376,14.55513389,13.53664001,7.271008538,6.32121433,5.878888059,6.12757946,199,La Araucania - Gorbea
2021,Yerbas Buenas,Linares,Maule,1122,13120603.18,2811,2026013.815,1563.833,1267,787118.9135,746.333,1541,1241869.685,817.5,781,371860.5685,395.75,431,156562.9736,256.917,350,215279.8209,138.833,280,3592,2397874.384,1698,943681.8871,1891,1457149.506,16.38969431,7.117953801,14.69009323,13.7575444,7.544861069,6.379826428,5.974825619,6.163504113,200,Maule - Yerbas Buenas
2021,Yungay,Diguillin,Nuble,897,13119240.64,3004,1848109.844,1402.416,1336,664593.5095,612.083,1669,1186943.23,790.25,874,349643.1995,527.166,256,151117.6196,116.833,618,198507.8069,410.333,120,3878,2197753.044,1592,815711.1291,2287,1385451.037,16.38959046,7.117908698,14.60294605,13.61181556,7.734996194,6.34197889,5.911536388,6.141591182,201,Nuble - Yungay
2021,Futrono,Ranco,Los Rios,983,13113486.27,3446,1984376.702,1808.916,1584,753434.0235,823.833,1859,1233917.463,985.083,1015,398443.5845,485.75,402,172617.3536,214.166,613,225808.4599,271.583,310,4461,2382820.287,1986,926051.3771,2472,1459725.923,16.38915174,7.117718166,14.68379534,13.73868499,7.812782819,6.377091289,5.966635082,6.164271321,202,Los Rios - Futrono
2021,Fresia,Llanquihue,Los Lagos,776,13107645.19,1162,1762301.851,764.667,286,605115.8945,187,876,1160222.773,577.667,675,353211.3465,362,342,149146.8846,194.75,333,204046.6879,167.25,51,1837,2115513.198,628,754262.7791,1209,1364269.461,16.38870622,7.117524677,14.56480799,13.5334961,7.097548851,6.325415739,5.877522677,6.134900158,203,Los Lagos - Fresia
2021,Malloa,Cachapoal,OHiggins,841,13062849.08,3279,1748729.071,1258.165,1208,604255.8625,399.5,2064,1147436.87,858.666,566,322076.9445,252.5,296,134299.1356,159.25,270,187760.0359,93.25,9,3845,2070806.016,1504,738554.9981,2334,1335196.906,16.38528281,7.116037909,14.54344847,13.51245085,7.755338813,6.316139418,5.868382842,6.125545317,204,Libertador Gral. Bernardo OÕHiggins - Malloa
2021,San Ignacio,Diguillin,Nuble,875,13059395.1,2735,1733394.622,925.5,1173,597620.0535,286.5,1561,1138749.351,638.999,754,324497.8865,297.666,408,134867.0416,188.583,346,189613.0709,109.083,337,3489,2057892.509,1581,732487.0951,1907,1328362.422,16.38501836,7.115923061,14.53719296,13.504201,7.553286606,6.313422686,5.864799978,6.123316581,205,Nuble - San Ignacio
2021,Lanco,Valdivia,Los Rios,989,13047597.61,3815,1938375.711,1782.833,1745,708467.4665,746.25,2079,1233919.942,1036.582,1011,385788.8175,542.166,678,168611.9546,398.75,333,217159.0889,143.417,132,4826,2324164.529,2423,877079.4211,2412,1451079.031,16.38411458,7.115530555,14.65887119,13.68435283,7.788211558,6.366266869,5.943038921,6.161691066,206,Los Rios - Lanco
