asdf_id,shapeName,viirs_ntl_annual_v20_avg_masked.2020.sum,lnviirs_ntl,logviirs_ntl
272,Buin,5563.19,8.62,3.75
273,Rengo,3352.96,8.12,3.53
274,Santa Cruz,2343.20,7.76,3.37
275,Palmilla,850.29,6.75,2.93
276,Río Claro,657.00,6.49,2.82
277,Pelarco,284.41,5.65,2.45
278,San Javier,2147.90,7.67,3.33
279,Villa Alegre,965.88,6.87,2.98
280,Yerbas Buenas,1070.70,6.98,3.03
281,Maule,2247.98,7.72,3.35
282,San Rafael,805.54,6.69,2.91
283,Santa Bárbara,486.44,6.19,2.69
284,Villarrica,2932.86,7.98,3.47
285,Pucón,1439.55,7.27,3.16
286,Padre Las Casas,3373.42,8.12,3.53
287,Puerto Octay,313.39,5.75,2.50
288,Frutillar,818.83,6.71,2.91
289,La Cruz,1068.28,6.97,3.03
290,Sagrada Familia,1255.12,7.13,3.10
291,Retiro,855.34,6.75,2.93
292,Quinta de Tilcoco,845.90,6.74,2.93
293,General Lagos,69.73,4.24,1.84
294,San Pedro de Atacama,2593.13,7.86,3.41
295,Tierra Amarilla,4521.89,8.42,3.66
296,Putaendo,1362.55,7.22,3.13
297,Monte Patria,1559.88,7.35,3.19
298,Río Hurtado,304.18,5.72,2.48
299,Salamanca,3261.73,8.09,3.51
300,San Esteban,1410.17,7.25,3.15
301,Los Andes,5785.42,8.66,3.76
302,San José de Maipo,2537.94,7.84,3.40
303,Curicó,6431.11,8.77,3.81
304,Machalí,7401.90,8.91,3.87
305,Molina,3092.77,8.04,3.49
306,Colbún,1000.32,6.91,3.00
307,San Clemente,2177.35,7.69,3.34
308,Melipeuco,155.88,5.05,2.19
309,Lago Ranco,319.95,5.77,2.51
310,Futrono,517.16,6.25,2.71
311,Puerto Varas,3968.61,8.29,3.60
312,Hualaihué,257.04,5.55,2.41
313,Palena,77.75,4.35,1.89
314,Futaleufú,168.67,5.13,2.23
315,Ollagüe,137.40,4.92,2.14
316,Pica,4833.45,8.48,3.68
317,Diego de Almagro,3937.28,8.28,3.60
318,Vallenar,4465.96,8.40,3.65
319,Vicuña,1725.76,7.45,3.24
320,Tiltil,2135.93,7.67,3.33
321,Hijuelas,1195.38,7.09,3.08
322,Quilpué,4642.22,8.44,3.67
323,Melipilla,4996.70,8.52,3.70
324,Las Cabras,1967.36,7.58,3.29
325,San Pedro,1719.52,7.45,3.24
